Job Title,Company Name,Skills,Job Link
Software Developer,CASHPOR MICRO CREDIT,"Programmer,webdeveloper,softwaredeveloper,javadeveloper,androiddeveloper,SQLProgramming,MySQLDatabase,Json,Rest,Wsdl,Soap,WebServices,WindowsServices",https://www.timesjobs.com/job-detail/software-developer-cashpor-micro-credit-varanasi-banaras-2-to-3-yrs-jobid-pTzqvBvOwpxzpSvf__PLUS__uAgZw==&source=srp
Software Developer,Bask HR,"""FrontEndDeveloper"",""UIDeveloper""",https://www.timesjobs.com/job-detail/software-developer-bask-hr-bengaluru-bangalore-4-to-9-yrs-jobid-bBvyXNSCeYlzpSvf__PLUS__uAgZw==&source=srp
Software Developer,HR Jobs Placements,"SoftwareDeveloper,algorithms,debug,SoftwareDevelopment,softwareengineer,programmer,developer,associateconsultant",https://www.timesjobs.com/job-detail/software-developer-a-leading-it-firm-bengaluru-bangalore-chennai-delhi-ncr-hyderabad-secunderabad-mumbai-2-to-7-yrs-jobid-JWvMMbXxbj1zpSvf__PLUS__uAgZw==&source=srp
Quality Assurance Software Tester,Value C Consulting Services Pvt ltd,"freshers,trainees,softwaredeveloper",https://www.timesjobs.com/job-detail/quality-assurance-software-tester-bi-bengaluru-bangalore-delhi-ncr-hyderabad-secunderabad-mumbai-pune-0-to-1-yrs-jobid-Yy0p3juPolZzpSvf__PLUS__uAgZw==&source=srp
Software Testing Internship,Maxgen Technologies,Manualtesting,https://www.timesjobs.com/job-detail/software-testing-internship-maxgen-technologies-ahmedabad-anand-gandhinagar-mehsana-rajkot-0-to-1-yrs-jobid-uMGJRaRV9IZzpSvf__PLUS__uAgZw==&source=srp
"Operations Officer , Software Engineer",JDC Recruitment Services,"clientservices,OperationsCustomerService",https://www.timesjobs.com/job-detail/operations-officer-software-engineer-jdc-recruitment-services-ahmedabad-bengaluru-bangalore-chennai-kolkata-mumbai-3-to-6-yrs-jobid-aa1MgturC6lzpSvf__PLUS__uAgZw==&source=srp
Software Developer  (Programmer Analyst),Electrobrain modern technologies pvt ltd,"Programming,Cloud,API,Java,Javascript,c++,C,BigData,Mule,talkEAISQLRamp,Perl,Cobol,Mainframe,Vsam,Xpeditor,Spufi,FileAid,Changeman,Expeditor,Endeavor,Ispf",https://www.timesjobs.com/job-detail/software-developer-programmer-analyst-electrobrain-modern-technologies-pvt-ltd-bengaluru-bangalore-chennai-hyderabad-secunderabad-2-to-5-yrs-jobid-A4wRQYEOP4xzpSvf__PLUS__uAgZw==&source=srp
Software Developer  (.net Developer),C DOCTOR INDIA PRIVATE LIMITED,"c#,VB.net,SQLProgramming,CrystalReport",https://www.timesjobs.com/job-detail/software-developer-net-developer-c-doctor-india-private-limited-ahmedabad-2-to-4-yrs-jobid-GJL84R9ApwJzpSvf__PLUS__uAgZw==&source=srp
Software Testing Internship in Mumbai,Maxgen Technologies,manualtesting,https://www.timesjobs.com/job-detail/software-testing-internship-in-mumbai-maxgen-technologies-mumbai-dombivali-kalyan-navi-mumbai-thane-0-to-1-yrs-jobid-dfgEd9nRyF9zpSvf__PLUS__uAgZw==&source=srp
Software Developer  (.net Developer),Infolink Technologies Pvt Ltd,"c#,VB.netc#,WindowsFormsApplication,MultiThreadedProgramming,TaskParallelLibrary(TPL),SQL,WPF",https://www.timesjobs.com/job-detail/software-developer-net-developer-infolink-technologies-pvt-ltd-bengaluru-bangalore-2-to-4-yrs-jobid-Sv__SLASH__FlX1UnRlzpSvf__PLUS__uAgZw==&source=srp
Software Developer,HR Jobs Placements,"c,c++,python,VBJ2EE,jave,dotnet,php",https://www.timesjobs.com/job-detail/software-developer-hr-jobs-placements-bengaluru-bangalore-chennai-delhi-ncr-hyderabad-secunderabad-mumbai-2-to-7-yrs-jobid-OLehCr1jdUxzpSvf__PLUS__uAgZw==&source=srp
Software Testing Engineer Required In Malta,CLOUD VISA IMMIGRATION LLP,"software,SoftwareDesigning,SoftwareDeveloping,softwaredeveloper,softwareengineer,traineesoftwareengineer",https://www.timesjobs.com/job-detail/software-testing-engineer-required-in-malta-cloud-visa-immigration-llp-3-to-8-yrs-jobid-7ZLPhsz8nkZzpSvf__PLUS__uAgZw==&source=srp
"Senior Administrative Assistant , Software Engineer",Harsh Placement Services,"Industrial,Engineering,SeniorAdministrativeAssistant",https://www.timesjobs.com/job-detail/senior-administrative-assistant-software-engineer-harsh-placement-services-chennai-delhi-ncr-gurgaon-kolkata-noida-greater-noida-10-to-15-yrs-jobid-wZWJ4IhaprhzpSvf__PLUS__uAgZw==&source=srp
Senior Software Developer,Avista Technology Solutions Pvt Ltd,"ASP.netc#SQL,JavaScript,HTML,CSS,OOPS",https://www.timesjobs.com/job-detail/senior-software-developer-avista-technology-solutions-pvt-ltd-mumbai-1-to-3-yrs-jobid-VHvZI1l9__PLUS__7tzpSvf__PLUS__uAgZw==&source=srp
Software engineers and designers For Canada /  OINP,I2CANZ OUTSOURCING PRIVATE LIMITED,"Softwareengineers,SoftwareDesigning,CadDesign,SoftwareDeveloping,SoftwareProductDevelopment,SoftwareDevelopment,softwaretestengineer,softwareengineer",https://www.timesjobs.com/job-detail/software-engineers-and-designers-for-canada-oinp-i2canz-outsourcing-private-limited-australia-canada-null-2-to-7-yrs-jobid-Oxk9Vnq7gfZzpSvf__PLUS__uAgZw==&source=srp
Software Testing / QA Analyst - Bengaluru  /  Hyderabad  /  Chennai,Fintech System,"MySQL,Sybase,Scrum,Agile,Oracle,Sql,Databases,Python,C,c++,Java,Vb,Shell,Perl,OOPS,DataStructures,Dbms,B.Tech,BE,ME,BCA,Mca,Bsc,CSE,ECE,EEE",https://www.timesjobs.com/job-detail/software-testing-qa-analyst-bengaluru-hyderabad-chennai-finteh-system-bengaluru-bangalore-chennai-hyderabad-secunderabad-pune-mysoru-mysore-0-to-3-yrs-jobid-xG9g7EnbTGxzpSvf__PLUS__uAgZw==&source=srp
"Infromation technology Manager , BUSINESS SYSTEMS SPECIALIST",Value C Consulting Services Pvt ltd,"freshers,trainees,softwaredeveloper",https://www.timesjobs.com/job-detail/infromation-technology-manager-business-systems-specialist-bi-bengaluru-bangalore-delhi-ncr-hyderabad-secunderabad-mumbai-pune-0-to-1-yrs-jobid-ym9HBmG8LQ1zpSvf__PLUS__uAgZw==&source=srp
SR YII PHP DEVELOPER,Raju Munnarprasad Yadav,"Programmer,softwaredeveloper",https://www.timesjobs.com/job-detail/sr-yii-php-developer-saleprosys-mumbai-1-to-6-yrs-jobid-H6jFL7N0TPJzpSvf__PLUS__uAgZw==&source=srp
Software Test Engineer - Manual  /  Automation Testing,Fintech System,"TestEngineer,softwaretester,qatester,AgileProgramming,Scrum,TestData,TestCases,TestPlan,RegressionTesting,BlackBoxTesting,ApiTesting,ManualTesting",https://www.timesjobs.com/job-detail/software-test-engineer-manual-automation-testing-finteh-system-bengaluru-bangalore-chennai-hyderabad-secunderabad-pune-mysoru-mysore-0-to-3-yrs-jobid-kqqWwOXuH4NzpSvf__PLUS__uAgZw==&source=srp
QA Automation Engineer,EVOLVEWARE INFORMATION TECHNOLOGY INDIA PRIVATE LIMITED,"Automation,selenium,java,blackboxsoftware,TestScript,SoftwareTesting",https://www.timesjobs.com/job-detail/qa-automation-engineer-evolveware-information-technology-india-private-limited-pune-2-to-4-yrs-jobid-qdsx__SLASH__EIJyqRzpSvf__PLUS__uAgZw==&source=srp
Python Developer Required In Canada | Singapore,CLOUD VISA IMMIGRATION LLP,"pythondeveloper,softwaredeveloper,PythonScripting,python",https://www.timesjobs.com/job-detail/python-developer-required-in-canada-singapore-cloud-visa-immigration-llp-canada-singapore-3-to-8-yrs-jobid-Ah1jVwhPQTNzpSvf__PLUS__uAgZw==&source=srp
"""Angular Developer""",Infymax Solutions Pvt Ltd,"SoftwareDeveloping,softwaredeveloper,html5,Css3,Bootstrap,angular8",https://www.timesjobs.com/job-detail/angular-developer-infymax-solutions-pvt-ltd-kolkata-other-city-s-in-west-bengal-2-to-5-yrs-jobid-wI1rz4tmEhtzpSvf__PLUS__uAgZw==&source=srp
Trainee Developer,thework.life,"Programmer,softwareprogrammer,juniordeveloper",https://www.timesjobs.com/job-detail/trainee-developer-thework-life-hyderabad-secunderabad-0-to-1-yrs-jobid-HbFYVOQyappzpSvf__PLUS__uAgZw==&source=srp
Automation Test Engineer,Checkmark India Pvt Ltd.,"UFT,AutomationTesting,ManualTesting,softwaretestengineer,seniorsoftwareengineer",https://www.timesjobs.com/job-detail/automation-test-engineer-checkmark-india-private-limited-hyderabad-secunderabad-1-to-6-yrs-jobid-21EAxZAeEGBzpSvf__PLUS__uAgZw==&source=srp
Shipping  &  Logistics,Sarita Sharma,"Customsdocumentation.,Inventorymanagementsoftware.,Distributionmanagement.,Qualityassurance.",https://www.timesjobs.com/job-detail/shipping-logistics-sarita-sharma-ahmedabad-chennai-bharuch-hissar-5-to-10-yrs-jobid-S4c9HLuWKh1zpSvf__PLUS__uAgZw==&source=srp
Software Developer,CASHPOR MICRO CREDIT,"Programmer,webdeveloper,softwaredeveloper,javadeveloper,androiddeveloper,SQLProgramming,MySQLDatabase,Json,Rest,Wsdl,Soap,WebServices,WindowsServices",https://www.timesjobs.com/job-detail/software-developer-cashpor-micro-credit-varanasi-banaras-2-to-3-yrs-jobid-pTzqvBvOwpxzpSvf__PLUS__uAgZw==&source=srp
Software Developer,Bask HR,"""FrontEndDeveloper"",""UIDeveloper""",https://www.timesjobs.com/job-detail/software-developer-bask-hr-bengaluru-bangalore-4-to-9-yrs-jobid-bBvyXNSCeYlzpSvf__PLUS__uAgZw==&source=srp
Software Developer,HR Jobs Placements,"SoftwareDeveloper,algorithms,debug,SoftwareDevelopment,softwareengineer,programmer,developer,associateconsultant",https://www.timesjobs.com/job-detail/software-developer-a-leading-it-firm-bengaluru-bangalore-chennai-delhi-ncr-hyderabad-secunderabad-mumbai-2-to-7-yrs-jobid-JWvMMbXxbj1zpSvf__PLUS__uAgZw==&source=srp
Quality Assurance Software Tester,Value C Consulting Services Pvt ltd,"freshers,trainees,softwaredeveloper",https://www.timesjobs.com/job-detail/quality-assurance-software-tester-bi-bengaluru-bangalore-delhi-ncr-hyderabad-secunderabad-mumbai-pune-0-to-1-yrs-jobid-Yy0p3juPolZzpSvf__PLUS__uAgZw==&source=srp
Software Testing Internship,Maxgen Technologies,Manualtesting,https://www.timesjobs.com/job-detail/software-testing-internship-maxgen-technologies-ahmedabad-anand-gandhinagar-mehsana-rajkot-0-to-1-yrs-jobid-uMGJRaRV9IZzpSvf__PLUS__uAgZw==&source=srp
"Operations Officer , Software Engineer",JDC Recruitment Services,"clientservices,OperationsCustomerService",https://www.timesjobs.com/job-detail/operations-officer-software-engineer-jdc-recruitment-services-ahmedabad-bengaluru-bangalore-chennai-kolkata-mumbai-3-to-6-yrs-jobid-aa1MgturC6lzpSvf__PLUS__uAgZw==&source=srp
Software Developer  (Programmer Analyst),Electrobrain modern technologies pvt ltd,"Programming,Cloud,API,Java,Javascript,c++,C,BigData,Mule,talkEAISQLRamp,Perl,Cobol,Mainframe,Vsam,Xpeditor,Spufi,FileAid,Changeman,Expeditor,Endeavor,Ispf",https://www.timesjobs.com/job-detail/software-developer-programmer-analyst-electrobrain-modern-technologies-pvt-ltd-bengaluru-bangalore-chennai-hyderabad-secunderabad-2-to-5-yrs-jobid-A4wRQYEOP4xzpSvf__PLUS__uAgZw==&source=srp
Software Developer  (.net Developer),C DOCTOR INDIA PRIVATE LIMITED,"c#,VB.net,SQLProgramming,CrystalReport",https://www.timesjobs.com/job-detail/software-developer-net-developer-c-doctor-india-private-limited-ahmedabad-2-to-4-yrs-jobid-GJL84R9ApwJzpSvf__PLUS__uAgZw==&source=srp
Software Testing Internship in Mumbai,Maxgen Technologies,manualtesting,https://www.timesjobs.com/job-detail/software-testing-internship-in-mumbai-maxgen-technologies-mumbai-dombivali-kalyan-navi-mumbai-thane-0-to-1-yrs-jobid-dfgEd9nRyF9zpSvf__PLUS__uAgZw==&source=srp
Software Developer  (.net Developer),Infolink Technologies Pvt Ltd,"c#,VB.netc#,WindowsFormsApplication,MultiThreadedProgramming,TaskParallelLibrary(TPL),SQL,WPF",https://www.timesjobs.com/job-detail/software-developer-net-developer-infolink-technologies-pvt-ltd-bengaluru-bangalore-2-to-4-yrs-jobid-Sv__SLASH__FlX1UnRlzpSvf__PLUS__uAgZw==&source=srp
Software Developer,HR Jobs Placements,"c,c++,python,VBJ2EE,jave,dotnet,php",https://www.timesjobs.com/job-detail/software-developer-hr-jobs-placements-bengaluru-bangalore-chennai-delhi-ncr-hyderabad-secunderabad-mumbai-2-to-7-yrs-jobid-OLehCr1jdUxzpSvf__PLUS__uAgZw==&source=srp
Software Testing Engineer Required In Malta,CLOUD VISA IMMIGRATION LLP,"software,SoftwareDesigning,SoftwareDeveloping,softwaredeveloper,softwareengineer,traineesoftwareengineer",https://www.timesjobs.com/job-detail/software-testing-engineer-required-in-malta-cloud-visa-immigration-llp-3-to-8-yrs-jobid-7ZLPhsz8nkZzpSvf__PLUS__uAgZw==&source=srp
"Senior Administrative Assistant , Software Engineer",Harsh Placement Services,"Industrial,Engineering,SeniorAdministrativeAssistant",https://www.timesjobs.com/job-detail/senior-administrative-assistant-software-engineer-harsh-placement-services-chennai-delhi-ncr-gurgaon-kolkata-noida-greater-noida-10-to-15-yrs-jobid-wZWJ4IhaprhzpSvf__PLUS__uAgZw==&source=srp
Senior Software Developer,Avista Technology Solutions Pvt Ltd,"ASP.netc#SQL,JavaScript,HTML,CSS,OOPS",https://www.timesjobs.com/job-detail/senior-software-developer-avista-technology-solutions-pvt-ltd-mumbai-1-to-3-yrs-jobid-VHvZI1l9__PLUS__7tzpSvf__PLUS__uAgZw==&source=srp
Software engineers and designers For Canada /  OINP,I2CANZ OUTSOURCING PRIVATE LIMITED,"Softwareengineers,SoftwareDesigning,CadDesign,SoftwareDeveloping,SoftwareProductDevelopment,SoftwareDevelopment,softwaretestengineer,softwareengineer",https://www.timesjobs.com/job-detail/software-engineers-and-designers-for-canada-oinp-i2canz-outsourcing-private-limited-australia-canada-null-2-to-7-yrs-jobid-Oxk9Vnq7gfZzpSvf__PLUS__uAgZw==&source=srp
Software Testing / QA Analyst - Bengaluru  /  Hyderabad  /  Chennai,Fintech System,"MySQL,Sybase,Scrum,Agile,Oracle,Sql,Databases,Python,C,c++,Java,Vb,Shell,Perl,OOPS,DataStructures,Dbms,B.Tech,BE,ME,BCA,Mca,Bsc,CSE,ECE,EEE",https://www.timesjobs.com/job-detail/software-testing-qa-analyst-bengaluru-hyderabad-chennai-finteh-system-bengaluru-bangalore-chennai-hyderabad-secunderabad-pune-mysoru-mysore-0-to-3-yrs-jobid-xG9g7EnbTGxzpSvf__PLUS__uAgZw==&source=srp
"Infromation technology Manager , BUSINESS SYSTEMS SPECIALIST",Value C Consulting Services Pvt ltd,"freshers,trainees,softwaredeveloper",https://www.timesjobs.com/job-detail/infromation-technology-manager-business-systems-specialist-bi-bengaluru-bangalore-delhi-ncr-hyderabad-secunderabad-mumbai-pune-0-to-1-yrs-jobid-ym9HBmG8LQ1zpSvf__PLUS__uAgZw==&source=srp
SR YII PHP DEVELOPER,Raju Munnarprasad Yadav,"Programmer,softwaredeveloper",https://www.timesjobs.com/job-detail/sr-yii-php-developer-saleprosys-mumbai-1-to-6-yrs-jobid-H6jFL7N0TPJzpSvf__PLUS__uAgZw==&source=srp
Software Test Engineer - Manual  /  Automation Testing,Fintech System,"TestEngineer,softwaretester,qatester,AgileProgramming,Scrum,TestData,TestCases,TestPlan,RegressionTesting,BlackBoxTesting,ApiTesting,ManualTesting",https://www.timesjobs.com/job-detail/software-test-engineer-manual-automation-testing-finteh-system-bengaluru-bangalore-chennai-hyderabad-secunderabad-pune-mysoru-mysore-0-to-3-yrs-jobid-kqqWwOXuH4NzpSvf__PLUS__uAgZw==&source=srp
QA Automation Engineer,EVOLVEWARE INFORMATION TECHNOLOGY INDIA PRIVATE LIMITED,"Automation,selenium,java,blackboxsoftware,TestScript,SoftwareTesting",https://www.timesjobs.com/job-detail/qa-automation-engineer-evolveware-information-technology-india-private-limited-pune-2-to-4-yrs-jobid-qdsx__SLASH__EIJyqRzpSvf__PLUS__uAgZw==&source=srp
Python Developer Required In Canada | Singapore,CLOUD VISA IMMIGRATION LLP,"pythondeveloper,softwaredeveloper,PythonScripting,python",https://www.timesjobs.com/job-detail/python-developer-required-in-canada-singapore-cloud-visa-immigration-llp-canada-singapore-3-to-8-yrs-jobid-Ah1jVwhPQTNzpSvf__PLUS__uAgZw==&source=srp
"""Angular Developer""",Infymax Solutions Pvt Ltd,"SoftwareDeveloping,softwaredeveloper,html5,Css3,Bootstrap,angular8",https://www.timesjobs.com/job-detail/angular-developer-infymax-solutions-pvt-ltd-kolkata-other-city-s-in-west-bengal-2-to-5-yrs-jobid-wI1rz4tmEhtzpSvf__PLUS__uAgZw==&source=srp
Trainee Developer,thework.life,"Programmer,softwareprogrammer,juniordeveloper",https://www.timesjobs.com/job-detail/trainee-developer-thework-life-hyderabad-secunderabad-0-to-1-yrs-jobid-HbFYVOQyappzpSvf__PLUS__uAgZw==&source=srp
Automation Test Engineer,Checkmark India Pvt Ltd.,"UFT,AutomationTesting,ManualTesting,softwaretestengineer,seniorsoftwareengineer",https://www.timesjobs.com/job-detail/automation-test-engineer-checkmark-india-private-limited-hyderabad-secunderabad-1-to-6-yrs-jobid-21EAxZAeEGBzpSvf__PLUS__uAgZw==&source=srp
Shipping  &  Logistics,Sarita Sharma,"Customsdocumentation.,Inventorymanagementsoftware.,Distributionmanagement.,Qualityassurance.",https://www.timesjobs.com/job-detail/shipping-logistics-sarita-sharma-ahmedabad-chennai-bharuch-hissar-5-to-10-yrs-jobid-S4c9HLuWKh1zpSvf__PLUS__uAgZw==&source=srp
